序号,气泡ID,中文名,左侧资源,右侧资源,右侧资源ID,类型,动态层,备注
1,9000,默认白,9000,9000_1,misc:textureconfig_chatbubble_9000_1:9000_1,常规静态主题,无,
2,9001,默认黑,9001,9001_1,misc:textureconfig_chatbubble_9001_1:9001_1,常规静态主题,无,
3,9002,岁序更新,9002,9002_1,misc:textureconfig_chatbubble_9002_1:9002_1,常规静态主题,无,
4,9003,愿祈佳语,9003,9003_1,misc:textureconfig_chatbubble_9003_1:9003_1,常规静态主题,无,
5,9004,稳定与唯一,9004,9004_1,misc:textureconfig_chatbubble_9004_1:9004_1,常规静态主题,无,
6,9005,,9005,9005_1,misc:textureconfig_chatbubble_9005_1:9005_1,常规静态主题,无,待补名称
7,9007,,9007,9007_1,misc:textureconfig_chatbubble_9007_1:9007_1,常规静态主题,无,待补名称
8,9008,海滨邹鲁,9008,9008_1,misc:textureconfig_chatbubble_9008_1:9008_1,常规静态主题,无,
9,9010,喷香美味吐司,9010,9010_1,misc:textureconfig_chatbubble_9010_1:9010_1,常规静态主题,无,
10,9011,雾中语,9011,9011_1,misc:textureconfig_chatbubble_9011_1:9011_1,常规静态主题,无,
11,9013,真心洞察,9013,9013_1,misc:textureconfig_chatbubble_9013_1:9013_1,常规静态主题,无,
12,9014,掌上星,9014,9014_1,misc:textureconfig_chatbubble_9014_1:9014_1,常规静态主题,无,
13,9015,紊中有序,9015,9015_1,misc:textureconfig_chatbubble_9015_1:9015_1,常规静态主题,无,
14,9016,她与我的花季,9000,9016_1,widgets:widget_system_chat:9016_1,旧版静态主体,有子节点，未接入,
15,9017,解心语,9000,9017_1,widgets:widget_system_chat:9017_1,旧版静态主体,有子节点，未接入,
16,9018,拼凑的字符,9018,9018_1,misc:textureconfig_chatbubble_9018_1:9018_1,常规静态主题,无,
17,9020,亲亲时刻,9020,9020_1,misc:textureconfig_chatbubble_9020_1:9020_1,常规静态主题,无,
